type,name,url,function_definition,parameters,return
Price trends,Vortex Indicator (VI),https://python.stockindicators.dev/indicators/Vortex/#content,"""get_vortex(quotes, lookback_periods)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int"", ""notes"": ""Number of periods (N) to consider. Must be greater than 1 and is usually between 14 and 30.""}]",[]
Price trends,Williams Alligator,https://python.stockindicators.dev/indicators/Alligator/#content,"""get_alligator(quotes, jaw_periods==13, jaw_offset=8, teeth_periods=8, teeth_offset=5, lips_periods=5, lips_offset=3)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""jaw_periods"", ""type"": ""int, default 13"", ""notes"": ""Number of periods (JP) for the Jaw moving average. Must be greater than teeth_periods.""}, {""name"": ""jaw_offset"", ""type"": ""int, default 8"", ""notes"": ""Number of periods (JO) for the Jaw offset. Must be greater than 0.""}, {""name"": ""teeth_periods"", ""type"": ""int, default 8"", ""notes"": ""Number of periods (TP) for the Teeth moving average. Must be greater than lips_periods.""}, {""name"": ""teeth_offset"", ""type"": ""int, default 5"", ""notes"": ""Number of periods (TO) for the Teeth offset. Must be greater than 0.""}, {""name"": ""lips_periods"", ""type"": ""int, default 5"", ""notes"": ""Number of periods (LP) for the Lips moving average. Must be greater than 0.""}, {""name"": ""lips_offset"", ""type"": ""int, default 3"", ""notes"": ""Number of periods (LO) for the Lips offset. Must be greater than 0.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""jaw"", ""type"": ""float, Optional"", ""notes"": ""Alligator\u2019s Jaw""}, {""name"": ""teeth"", ""type"": ""float, Optional"", ""notes"": ""Alligator\u2019s Teeth""}, {""name"": ""lips"", ""type"": ""float, Optional"", ""notes"": ""Alligator\u2019s Lips""}]"
Price channels,Bollinger Bands庐,https://python.stockindicators.dev/indicators/BollingerBands/#content,"""get_bollinger_bands(quotes, lookback_periods=20, standard_deviations=2)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 20"", ""notes"": ""Number of periods (N) for the center line moving average. Must be greater than 1 to calculate; however we suggest a larger period for statistically appropriate sample size.""}, {""name"": ""standard_deviations"", ""type"": ""int, default 2"", ""notes"": ""Width of bands. Standard deviations (D) from the moving average. Must be greater than 0.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""sma"", ""type"": ""float, Optional"", ""notes"": ""Simple moving average (SMA) of Close price (center line)""}, {""name"": ""upper_band"", ""type"": ""float, Optional"", ""notes"": ""Upper line is D standard deviations above the SMA""}, {""name"": ""lower_band"", ""type"": ""float, Optional"", ""notes"": ""Lower line is D standard deviations below the SMA""}, {""name"": ""percent_b"", ""type"": ""float, Optional"", ""notes"": ""%B is the location within the bands. (Price-lower_band)/(upper_band-lower_band)""}, {""name"": ""z_score"", ""type"": ""float, Optional"", ""notes"": ""Z-Score of current Close price (number of standard deviations from mean)""}, {""name"": ""width"", ""type"": ""float, Optional"", ""notes"": ""Width as percent of SMA price. (upper_band-lower_band)/sma""}]"
Price channels,Donchian Channels,https://python.stockindicators.dev/indicators/Donchian/#content,"""get_donchian(quotes, lookback_periods=20)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 20"", ""notes"": ""Number of periods (N) for lookback period. Must be greater than 0 to calculate; however we suggest a larger value for an appropriate sample size.""}]",[]
Price channels,Fractal Chaos Bands (FCB),https://python.stockindicators.dev/indicators/Fcb/#content,"""get_fcb(quotes, window_span=2)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""window_span"", ""type"": ""int"", ""notes"": ""Fractal evaluation window span width (S). Must be at least 2. Default is 2.""}]",[]
Price channels,Keltner Channels,https://python.stockindicators.dev/indicators/Keltner/#content,"""get_keltner(quotes, ema_periods=20, multiplier=2.0, atr_periods=10)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""ema_periods"", ""type"": ""int, default 20"", ""notes"": ""Number of lookback periods (E) for the center line moving average. Must be greater than 1 to calculate.""}, {""name"": ""multiplier"", ""type"": ""float, default 2.0"", ""notes"": ""ATR Multiplier. Must be greater than 0.""}, {""name"": ""atr_periods"", ""type"": ""int, default 10"", ""notes"": ""Number of lookback periods (A) for the Average True Range. Must be greater than 1 to calculate.""}]",[]
Price channels,Moving Average Envelopes,https://python.stockindicators.dev/indicators/MaEnvelopes/#content,"""get_ma_envelopes(quotes, lookback_periods, percent_offset=2.5, ma_type=MAType.SMA)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int"", ""notes"": ""Number of periods (N) in the moving average. Must be greater than 1.""}, {""name"": ""percent_offset"", ""type"": ""float, default 2.5"", ""notes"": ""Percent offset for envelope width. Example: 3.5% would be entered as 3.5 (not 0.035). Must be greater than 0. Typical values range from 2 to 10.""}, {""name"": ""ma_type"", ""type"": ""MAType, default MAType.SMA"", ""notes"": ""Type of moving average (e.g. SMA, EMA, HMA). See MAType options below.""}]",[]
Price channels,Pivot Points,https://python.stockindicators.dev/indicators/PivotPoints/#content,"""get_pivot_points(quotes, window_size, point_type=PivotPointType.STANDARD)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""window_size"", ""type"": ""PeriodSize"", ""notes"": ""Size of the lookback window. See PeriodSize options below.""}, {""name"": ""point_type"", ""type"": ""PivotPointType, default PivotPointType.STANDARD"", ""notes"": ""Type of Pivot Point. See PivotPointType options below.""}]",[]
Price channels,Price Channels,https://python.stockindicators.dev/indicators/Donchian/#content,"""get_donchian(quotes, lookback_periods=20)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 20"", ""notes"": ""Number of periods (N) for lookback period. Must be greater than 0 to calculate; however we suggest a larger value for an appropriate sample size.""}]",[]
Price channels,Rolling Pivot Points,https://python.stockindicators.dev/indicators/RollingPivots/#content,"""get_rolling_pivots(quotes, window_periods, offset_periods, point_type=PivotPointType.STANDARD)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""window_periods"", ""type"": ""int"", ""notes"": ""Number of periods (W) in the evaluation window. Must be greater than 0 to calculate; but is typically specified in the 5-20 range.""}, {""name"": ""offset_periods"", ""type"": ""int"", ""notes"": ""Number of periods (F) to offset the window from the current period. Must be greater than or equal to 0 and is typically less than or equal to W.""}, {""name"": ""point_type"", ""type"": ""PivotPointType, default PivotPointType.STANDARD"", ""notes"": ""Type of Pivot Point. See PivotPointType options below.""}]",[]
Price channels,STARC Bands,https://python.stockindicators.dev/indicators/StarcBands/#content,"""get_starc_bands(quotes, sma_periods=20, multiplier=2.0, atr_periods=10)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""sma_periods"", ""type"": ""int"", ""notes"": ""Number of lookback periods (S) for the center line moving average. Must be greater than 1 to calculate and is typically between 5 and 10.""}, {""name"": ""multiplier"", ""type"": ""float, default 2.0"", ""notes"": ""ATR Multiplier. Must be greater than 0.""}, {""name"": ""atr_periods"", ""type"": ""int, default 10"", ""notes"": ""Number of lookback periods (A) for the Average True Range. Must be greater than 1 to calculate and is typically the same value as sma_periods.""}]",[]
Price channels,Standard Deviation Channels,https://python.stockindicators.dev/indicators/StdDevChannels/#content,"""get_stdev_channels(quotes, lookback_periods=20, standard_deviations=2)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, Optional, default 20"", ""notes"": ""Size (N) of the evaluation window. Must be None or greater than 1 to calculate. A None value will produce a full quotes evaluation window (see below).""}, {""name"": ""standard_deviations"", ""type"": ""int, default 2"", ""notes"": ""Width of bands. Standard deviations (D) from the regression line. Must be greater than 0. Default is 2.""}]",[]
Oscillators,Awesome Oscillator (AO),https://python.stockindicators.dev/indicators/Awesome/#content,"""get_awesome(quotes, fast_periods=5, slow_periods=34)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""fast_periods"", ""type"": ""int, default 5"", ""notes"": ""Number of periods (F) for the faster moving average. Must be greater than 0.""}, {""name"": ""slow_periods"", ""type"": ""int, default 34"", ""notes"": ""Number of periods (S) for the slower moving average. Must be greater than fast_periods.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""oscillator"", ""type"": ""float, Optional"", ""notes"": ""Awesome Oscillator""}, {""name"": ""normalized"", ""type"": ""float, Optional"", ""notes"": ""100 \u00d7 oscillator \u00f7 (median price)""}]"
Oscillators,Chande Momentum Oscillator (CMO),https://python.stockindicators.dev/indicators/Cmo/#content,"""get_cmo(quotes, lookback_periods)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int"", ""notes"": ""Number of periods (N) in the lookback window. Must be greater than 0.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""cmo"", ""type"": ""float, Optional"", ""notes"": ""Chande Momentum Oscillator""}]"
Oscillators,Commodity Channel Index (CCI),https://python.stockindicators.dev/indicators/Cci/#content,"""get_cci(quotes, lookback_periods=20)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 20"", ""notes"": ""Number of periods (N) in the moving average. Must be greater than 0.""}]",[]
Oscillators,ConnorsRSI,https://python.stockindicators.dev/indicators/ConnorsRsi/#content,"""get_connors_rsi(quotes, rsi_periods=3, streak_periods=2, rank_periods=100)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""rsi_periods"", ""type"": ""int, default 3"", ""notes"": ""Lookback period (R) for the close price RSI. Must be greater than 1.""}, {""name"": ""streak_periods"", ""type"": ""int, default 2"", ""notes"": ""Lookback period (S) for the streak RSI. Must be greater than 1.""}, {""name"": ""rank_periods"", ""type"": ""int, default 100"", ""notes"": ""Lookback period (P) for the Percentile Rank. Must be greater than 1.""}]",[]
Oscillators,Detrended Price Oscillator (DPO),https://python.stockindicators.dev/indicators/Dpo/#content,"""get_dpo(quotes, lookback_periods)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int"", ""notes"": ""Number of periods (N) in the moving average. Must be greater than 0.""}]",[]
Oscillators,KDJ Index,https://python.stockindicators.dev/indicators/Stoch/#content,"""get_stoch(quotes, lookback_periods=14, signal_periods=3, smooth_periods=3, k_factor=3, d_factor=2, ma_type=MAType.SMA)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 14"", ""notes"": ""Lookback period (N) for the oscillator (%K). Must be greater than 0.""}, {""name"": ""signal_periods"", ""type"": ""int, default 3"", ""notes"": ""Smoothing period for the signal (%D). Must be greater than 0.""}, {""name"": ""smooth_periods"", ""type"": ""int, default 3"", ""notes"": ""Smoothing period (S) for the Oscillator (%K). \u201cSlow\u201d stochastic uses 3, \u201cFast\u201d stochastic uses 1. Must be greater than 0.""}, {""name"": ""k_factor"", ""type"": ""int, default 3"", ""notes"": ""Weight of %K in the %J calculation. Must be greater than 0.""}, {""name"": ""d_factor"", ""type"": ""int, default 2"", ""notes"": ""Weight of %D in the %J calculation. Must be greater than 0.""}, {""name"": ""ma_type"", ""type"": ""MAType, default MAType.SMA"", ""notes"": ""Type of moving average (SMA or SMMA) used for smoothing. See MAType options below.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""oscillator or k"", ""type"": ""float, Optional"", ""notes"": ""%K Oscillator over prior N lookback periods""}, {""name"": ""signal or d"", ""type"": ""float, Optional"", ""notes"": ""%D Simple moving average of Oscillator""}, {""name"": ""percent_j or j"", ""type"": ""float, Optional"", ""notes"": ""%J is the weighted divergence of %K and %D: %J=kFactor\u00d7%K-dFactor\u00d7%D""}]"
Oscillators,Relative Strength Index (RSI),https://python.stockindicators.dev/indicators/Rsi/#content,"""get_rsi(quotes, lookback_periods=14)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 14"", ""notes"": ""Number of periods (N) in the lookback period. Must be greater than 0.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""rsi"", ""type"": ""float, Optional"", ""notes"": ""RSI over prior N lookback periods""}]"
Oscillators,Schaff Trend Cycle,https://python.stockindicators.dev/indicators/Stc/#content,"""get_stc(quotes, cycle_periods=10, fast_periods=23, slow_periods=50)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""cycle_periods"", ""type"": ""int, default 10"", ""notes"": ""Number of periods (C) for the Trend Cycle. Must be greater than or equal to 0.""}, {""name"": ""fast_periods"", ""type"": ""int, default 23"", ""notes"": ""Number of periods (F) for the faster moving average. Must be greater than 0.""}, {""name"": ""slow_periods"", ""type"": ""int, default 50"", ""notes"": ""Number of periods (S) for the slower moving average. Must be greater than fast_periods.""}]",[]
Oscillators,Stochastic Momentum Index (SMI),https://python.stockindicators.dev/indicators/Smi/#content,"""get_smi(quotes, lookback_periods, first_smooth_periods, second_smooth_periods, signal_periods=3)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 13"", ""notes"": ""Lookback period (N) for the stochastic. Must be greater than 0.""}, {""name"": ""first_smooth_periods"", ""type"": ""int, default 25"", ""notes"": ""First smoothing factor lookback. Must be greater than 0.""}, {""name"": ""second_smooth_periods"", ""type"": ""int, default 2"", ""notes"": ""Second smoothing factor lookback. Must be greater than 0.""}, {""name"": ""signal_periods"", ""type"": ""int, default 3"", ""notes"": ""EMA of SMI lookback periods. Must be greater than 0.""}]",[]
Oscillators,Stochastic Oscillator,https://python.stockindicators.dev/indicators/Stoch/#content,"""get_stoch(quotes, lookback_periods=14, signal_periods=3, smooth_periods=3, k_factor=3, d_factor=2, ma_type=MAType.SMA)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""lookback_periods"", ""type"": ""int, default 14"", ""notes"": ""Lookback period (N) for the oscillator (%K). Must be greater than 0.""}, {""name"": ""signal_periods"", ""type"": ""int, default 3"", ""notes"": ""Smoothing period for the signal (%D). Must be greater than 0.""}, {""name"": ""smooth_periods"", ""type"": ""int, default 3"", ""notes"": ""Smoothing period (S) for the Oscillator (%K). \u201cSlow\u201d stochastic uses 3, \u201cFast\u201d stochastic uses 1. Must be greater than 0.""}, {""name"": ""k_factor"", ""type"": ""int, default 3"", ""notes"": ""Weight of %K in the %J calculation. Must be greater than 0.""}, {""name"": ""d_factor"", ""type"": ""int, default 2"", ""notes"": ""Weight of %D in the %J calculation. Must be greater than 0.""}, {""name"": ""ma_type"", ""type"": ""MAType, default MAType.SMA"", ""notes"": ""Type of moving average (SMA or SMMA) used for smoothing. See MAType options below.""}]","[{""name"": ""date"", ""type"": ""datetime"", ""notes"": ""Date""}, {""name"": ""oscillator or k"", ""type"": ""float, Optional"", ""notes"": ""%K Oscillator over prior N lookback periods""}, {""name"": ""signal or d"", ""type"": ""float, Optional"", ""notes"": ""%D Simple moving average of Oscillator""}, {""name"": ""percent_j or j"", ""type"": ""float, Optional"", ""notes"": ""%J is the weighted divergence of %K and %D: %J=kFactor\u00d7%K-dFactor\u00d7%D""}]"
Oscillators,Stochastic RSI,https://python.stockindicators.dev/indicators/StochRsi/#content,"""get_stoch_rsi(quotes, rsi_periods, stoch_periods, signal_periods, smooth_periods=1)""","[{""name"": ""quotes"", ""type"": ""Iterable[Quote]"", ""notes"": ""Iterable of the Quote class or its sub-class.  \u2022 See here for usage with pandas.DataFrame""}, {""name"": ""rsi_periods"", ""type"": ""int"", ""notes"": ""Number of periods (R) in the lookback period. Must be greater than 0. Standard is 14.""}, {""name"": ""stoch_periods"", ""type"": ""int"", ""notes"": ""Number of periods (S) in the lookback period. Must be greater than 0. Typically the same value as rsi_periods.""}, {""name"": ""signal_periods"", ""type"": ""int"", ""notes"": ""Number of periods (G) in the signal line (SMA of the StochRSI). Must be greater than 0. Typically 3-5.""}, {""name"": ""smooth_periods"", ""type"": ""int, default 1"", ""notes"": ""Smoothing periods (M) for the Stochastic. Must be greater than 0.""}]",[]
